Ranking,Name,Location,Exams,Performance_Score
324,Aomori Prefectural High School Tier-323,Aomori,Japanese Common Test & University Exams,32.0
325,Iwate Prefectural High School Tier-324,Iwate,Japanese Common Test & University Exams,31.7
326,Miyagi Prefectural High School Tier-325,Miyagi,Japanese Common Test & University Exams,31.7
327,Fukushima Prefectural High School Tier-328,Fukushima,Japanese Common Test & University Exams,31.3
328,Yamagata Prefectural High School Tier-327,Yamagata,Japanese Common Test & University Exams,31.3
329,Akita Prefectural High School Tier-326,Akita,Japanese Common Test & University Exams,31.3
330,Tochigi Prefectural High School Tier-330,Tochigi,Japanese Common Test & University Exams,31.0
331,Ibaraki Prefectural High School Tier-329,Ibaraki,Japanese Common Test & University Exams,31.0
332,Gunma Prefectural High School Tier-331,Gunma,Japanese Common Test & University Exams,30.7
333,Saitama Prefectural High School Tier-332,Saitama,Japanese Common Test & University Exams,30.7
334,Chiba Prefectural High School Tier-333,Chiba,Japanese Common Test & University Exams,30.7
335,Kanagawa Prefectural High School Tier-334,Kanagawa,Japanese Common Test & University Exams,30.3
336,Niigata Prefectural High School Tier-335,Niigata,Japanese Common Test & University Exams,30.3
337,Toyama Prefectural High School Tier-336,Toyama,Japanese Common Test & University Exams,30.0
338,Ishikawa Prefectural High School Tier-337,Ishikawa,Japanese Common Test & University Exams,30.0
339,Fukui Prefectural High School Tier-338,Fukui,Japanese Common Test & University Exams,30.0
340,Yamanashi Prefectural High School Tier-339,Yamanashi,Japanese Common Test & University Exams,29.7
341,Nagano Prefectural High School Tier-340,Nagano,Japanese Common Test & University Exams,29.7
342,Shizuoka Prefectural High School Tier-342,Shizuoka,Japanese Common Test & University Exams,29.3
343,Aichi Prefectural High School Tier-343,Aichi,Japanese Common Test & University Exams,29.3
344,Gifu Prefectural High School Tier-341,Gifu,Japanese Common Test & University Exams,29.3
345,Shiga Prefectural High School Tier-345,Shiga,Japanese Common Test & University Exams,29.0
346,Mie Prefectural High School Tier-344,Mie,Japanese Common Test & University Exams,29.0
347,Kyoto Prefectural High School Tier-346,Kyoto,Japanese Common Test & University Exams,28.7
348,Osaka Prefectural High School Tier-347,Osaka,Japanese Common Test & University Exams,28.7
349,Hyogo Prefectural High School Tier-348,Hyogo,Japanese Common Test & University Exams,28.7
350,Nara Prefectural High School Tier-349,Nara,Japanese Common Test & University Exams,28.3
351,Wakayama Prefectural High School Tier-350,Wakayama,Japanese Common Test & University Exams,28.3
352,Tottori Prefectural High School Tier-351,Tottori,Japanese Common Test & University Exams,28.0
353,Shimane Prefectural High School Tier-352,Shimane,Japanese Common Test & University Exams,28.0
354,Okayama Prefectural High School Tier-353,Okayama,Japanese Common Test & University Exams,28.0
355,Hiroshima Prefectural High School Tier-354,Hiroshima,Japanese Common Test & University Exams,27.7
356,Yamaguchi Prefectural High School Tier-355,Yamaguchi,Japanese Common Test & University Exams,27.7
357,Kagawa Prefectural High School Tier-357,Kagawa,Japanese Common Test & University Exams,27.3
358,Ehime Prefectural High School Tier-358,Ehime,Japanese Common Test & University Exams,27.3
359,Tokushima Prefectural High School Tier-356,Tokushima,Japanese Common Test & University Exams,27.3
360,Kochi Prefectural High School Tier-359,Kochi,Japanese Common Test & University Exams,27.0
361,Fukuoka Prefectural High School Tier-360,Fukuoka,Japanese Common Test & University Exams,27.0
362,Saga Prefectural High School Tier-361,Saga,Japanese Common Test & University Exams,26.7
363,Nagasaki Prefectural High School Tier-362,Nagasaki,Japanese Common Test & University Exams,26.7
364,Kumamoto Prefectural High School Tier-363,Kumamoto,Japanese Common Test & University Exams,26.7
365,Oita Prefectural High School Tier-364,Oita,Japanese Common Test & University Exams,26.3
366,Miyazaki Prefectural High School Tier-365,Miyazaki,Japanese Common Test & University Exams,26.3
367,Kagoshima Prefectural High School Tier-366,Kagoshima,Japanese Common Test & University Exams,26.0
368,Okinawa Prefectural High School Tier-367,Okinawa,Japanese Common Test & University Exams,26.0
369,Hokkaido Prefectural High School Tier-368,Hokkaido,Japanese Common Test & University Exams,26.0
370,Aomori Prefectural High School Tier-369,Aomori,Japanese Common Test & University Exams,25.7
371,Iwate Prefectural High School Tier-370,Iwate,Japanese Common Test & University Exams,25.7
372,Miyagi Prefectural High School Tier-371,Miyagi,Japanese Common Test & University Exams,25.3
373,Akita Prefectural High School Tier-372,Akita,Japanese Common Test & University Exams,25.3
374,Yamagata Prefectural High School Tier-373,Yamagata,Japanese Common Test & University Exams,25.3
375,Ibaraki Prefectural High School Tier-375,Ibaraki,Japanese Common Test & University Exams,25.0
376,Fukushima Prefectural High School Tier-374,Fukushima,Japanese Common Test & University Exams,25.0
377,Saitama Prefectural High School Tier-378,Saitama,Japanese Common Test & University Exams,24.7
378,Tochigi Prefectural High School Tier-376,Tochigi,Japanese Common Test & University Exams,24.7
379,Gunma Prefectural High School Tier-377,Gunma,Japanese Common Test & University Exams,24.7
380,Chiba Prefectural High School Tier-379,Chiba,Japanese Common Test & University Exams,24.3
381,Kanagawa Prefectural High School Tier-380,Kanagawa,Japanese Common Test & University Exams,24.3
382,Niigata Prefectural High School Tier-381,Niigata,Japanese Common Test & University Exams,24.0
383,Toyama Prefectural High School Tier-382,Toyama,Japanese Common Test & University Exams,24.0
384,Ishikawa Prefectural High School Tier-383,Ishikawa,Japanese Common Test & University Exams,24.0
385,Fukui Prefectural High School Tier-384,Fukui,Japanese Common Test & University Exams,23.7
386,Yamanashi Prefectural High School Tier-385,Yamanashi,Japanese Common Test & University Exams,23.7
387,Nagano Prefectural High School Tier-386,Nagano,Japanese Common Test & University Exams,23.3
388,Gifu Prefectural High School Tier-387,Gifu,Japanese Common Test & University Exams,23.3
389,Shizuoka Prefectural High School Tier-388,Shizuoka,Japanese Common Test & University Exams,23.3
390,Aichi Prefectural High School Tier-389,Aichi,Japanese Common Test & University Exams,23.0
391,Mie Prefectural High School Tier-390,Mie,Japanese Common Test & University Exams,23.0
392,Osaka Prefectural High School Tier-393,Osaka,Japanese Common Test & University Exams,22.7
393,Kyoto Prefectural High School Tier-392,Kyoto,Japanese Common Test & University Exams,22.7
394,Shiga Prefectural High School Tier-391,Shiga,Japanese Common Test & University Exams,22.7
395,Hyogo Prefectural High School Tier-394,Hyogo,Japanese Common Test & University Exams,22.3
396,Nara Prefectural High School Tier-395,Nara,Japanese Common Test & University Exams,22.3
397,Wakayama Prefectural High School Tier-396,Wakayama,Japanese Common Test & University Exams,22.0
398,Tottori Prefectural High School Tier-397,Tottori,Japanese Common Test & University Exams,22.0
399,Shimane Prefectural High School Tier-398,Shimane,Japanese Common Test & University Exams,22.0
400,Okayama Prefectural High School Tier-399,Okayama,Japanese Common Test & University Exams,21.7
401,Hiroshima Prefectural High School Tier-400,Hiroshima,Japanese Common Test & University Exams,21.7
402,Yamaguchi Prefectural High School Tier-401,Yamaguchi,Japanese Common Test & University Exams,21.3
403,Tokushima Prefectural High School Tier-402,Tokushima,Japanese Common Test & University Exams,21.3
404,Kagawa Prefectural High School Tier-403,Kagawa,Japanese Common Test & University Exams,21.3
405,Ehime Prefectural High School Tier-404,Ehime,Japanese Common Test & University Exams,21.0
406,Kochi Prefectural High School Tier-405,Kochi,Japanese Common Test & University Exams,21.0
407,Nagasaki Prefectural High School Tier-408,Nagasaki,Japanese Common Test & University Exams,20.7
408,Fukuoka Prefectural High School Tier-406,Fukuoka,Japanese Common Test & University Exams,20.7
409,Saga Prefectural High School Tier-407,Saga,Japanese Common Test & University Exams,20.7
410,Kumamoto Prefectural High School Tier-409,Kumamoto,Japanese Common Test & University Exams,20.3
411,Oita Prefectural High School Tier-410,Oita,Japanese Common Test & University Exams,20.3
412,Miyazaki Prefectural High School Tier-411,Miyazaki,Japanese Common Test & University Exams,20.0
413,Kagoshima Prefectural High School Tier-412,Kagoshima,Japanese Common Test & University Exams,20.0
414,Okinawa Prefectural High School Tier-413,Okinawa,Japanese Common Test & University Exams,20.0
415,Hokkaido Prefectural High School Tier-414,Hokkaido,Japanese Common Test & University Exams,19.7
416,Aomori Prefectural High School Tier-415,Aomori,Japanese Common Test & University Exams,19.7
417,Iwate Prefectural High School Tier-416,Iwate,Japanese Common Test & University Exams,19.3
418,Miyagi Prefectural High School Tier-417,Miyagi,Japanese Common Test & University Exams,19.3
419,Akita Prefectural High School Tier-418,Akita,Japanese Common Test & University Exams,19.3
420,Yamagata Prefectural High School Tier-419,Yamagata,Japanese Common Test & University Exams,19.0
421,Fukushima Prefectural High School Tier-420,Fukushima,Japanese Common Test & University Exams,19.0
422,Gunma Prefectural High School Tier-423,Gunma,Japanese Common Test & University Exams,18.7
423,Tochigi Prefectural High School Tier-422,Tochigi,Japanese Common Test & University Exams,18.7
424,Ibaraki Prefectural High School Tier-421,Ibaraki,Japanese Common Test & University Exams,18.7
425,Saitama Prefectural High School Tier-424,Saitama,Japanese Common Test & University Exams,18.3
426,Chiba Prefectural High School Tier-425,Chiba,Japanese Common Test & University Exams,18.3
427,Kanagawa Prefectural High School Tier-426,Kanagawa,Japanese Common Test & University Exams,18.0
428,Niigata Prefectural High School Tier-427,Niigata,Japanese Common Test & University Exams,18.0
429,Toyama Prefectural High School Tier-428,Toyama,Japanese Common Test & University Exams,18.0
430,Ishikawa Prefectural High School Tier-429,Ishikawa,Japanese Common Test & University Exams,17.7
431,Fukui Prefectural High School Tier-430,Fukui,Japanese Common Test & University Exams,17.7
432,Yamanashi Prefectural High School Tier-431,Yamanashi,Japanese Common Test & University Exams,17.3
433,Nagano Prefectural High School Tier-432,Nagano,Japanese Common Test & University Exams,17.3
434,Gifu Prefectural High School Tier-433,Gifu,Japanese Common Test & University Exams,17.3
435,Shizuoka Prefectural High School Tier-434,Shizuoka,Japanese Common Test & University Exams,17.0
436,Aichi Prefectural High School Tier-435,Aichi,Japanese Common Test & University Exams,17.0
437,Kyoto Prefectural High School Tier-438,Kyoto,Japanese Common Test & University Exams,16.7
438,Shiga Prefectural High School Tier-437,Shiga,Japanese Common Test & University Exams,16.7
439,Mie Prefectural High School Tier-436,Mie,Japanese Common Test & University Exams,16.7
440,Hyogo Prefectural High School Tier-440,Hyogo,Japanese Common Test & University Exams,16.3
441,Osaka Prefectural High School Tier-439,Osaka,Japanese Common Test & University Exams,16.3
442,Nara Prefectural High School Tier-441,Nara,Japanese Common Test & University Exams,16.0
443,Wakayama Prefectural High School Tier-442,Wakayama,Japanese Common Test & University Exams,16.0
444,Tottori Prefectural High School Tier-443,Tottori,Japanese Common Test & University Exams,16.0
445,Shimane Prefectural High School Tier-444,Shimane,Japanese Common Test & University Exams,15.7
446,Okayama Prefectural High School Tier-445,Okayama,Japanese Common Test & University Exams,15.7
447,Hiroshima Prefectural High School Tier-446,Hiroshima,Japanese Common Test & University Exams,15.3
448,Yamaguchi Prefectural High School Tier-447,Yamaguchi,Japanese Common Test & University Exams,15.3
449,Tokushima Prefectural High School Tier-448,Tokushima,Japanese Common Test & University Exams,15.3
450,Kagawa Prefectural High School Tier-449,Kagawa,Japanese Common Test & University Exams,15.0
451,Ehime Prefectural High School Tier-450,Ehime,Japanese Common Test & University Exams,15.0
452,Kochi Prefectural High School Tier-451,Kochi,Japanese Common Test & University Exams,14.7
453,Fukuoka Prefectural High School Tier-452,Fukuoka,Japanese Common Test & University Exams,14.7
454,Saga Prefectural High School Tier-453,Saga,Japanese Common Test & University Exams,14.7
455,Kumamoto Prefectural High School Tier-455,Kumamoto,Japanese Common Test & University Exams,14.3
456,Nagasaki Prefectural High School Tier-454,Nagasaki,Japanese Common Test & University Exams,14.3
457,Oita Prefectural High School Tier-456,Oita,Japanese Common Test & University Exams,14.0
458,Miyazaki Prefectural High School Tier-457,Miyazaki,Japanese Common Test & University Exams,14.0
459,Kagoshima Prefectural High School Tier-458,Kagoshima,Japanese Common Test & University Exams,14.0
460,Okinawa Prefectural High School Tier-459,Okinawa,Japanese Common Test & University Exams,13.7
461,Hokkaido Prefectural High School Tier-460,Hokkaido,Japanese Common Test & University Exams,13.7
462,Aomori Prefectural High School Tier-461,Aomori,Japanese Common Test & University Exams,13.3
463,Iwate Prefectural High School Tier-462,Iwate,Japanese Common Test & University Exams,13.3
464,Miyagi Prefectural High School Tier-463,Miyagi,Japanese Common Test & University Exams,13.3
465,Akita Prefectural High School Tier-464,Akita,Japanese Common Test & University Exams,13.0
466,Yamagata Prefectural High School Tier-465,Yamagata,Japanese Common Test & University Exams,13.0
467,Fukushima Prefectural High School Tier-466,Fukushima,Japanese Common Test & University Exams,12.7
468,Ibaraki Prefectural High School Tier-467,Ibaraki,Japanese Common Test & University Exams,12.7
469,Tochigi Prefectural High School Tier-468,Tochigi,Japanese Common Test & University Exams,12.7
470,Saitama Prefectural High School Tier-470,Saitama,Japanese Common Test & University Exams,12.3
471,Gunma Prefectural High School Tier-469,Gunma,Japanese Common Test & University Exams,12.3
472,Chiba Prefectural High School Tier-471,Chiba,Japanese Common Test & University Exams,12.0
473,Niigata Prefectural High School Tier-473,Niigata,Japanese Common Test & University Exams,12.0
474,Kanagawa Prefectural High School Tier-472,Kanagawa,Japanese Common Test & University Exams,12.0
475,Toyama Prefectural High School Tier-474,Toyama,Japanese Common Test & University Exams,11.7
476,Global Curricula Candidate Academy Track-481,Metropolitan Hub,IB Diploma Programme (DP) / English Options,10.5
477,Global Curricula Candidate Academy Track-484,Metropolitan Hub,IB Diploma Programme (DP) / English Options,10.5
478,Global Curricula Candidate Academy Track-483,Metropolitan Hub,IB Diploma Programme (DP) / English Options,10.5
479,Global Curricula Candidate Academy Track-482,Metropolitan Hub,IB Diploma Programme (DP) / English Options,10.5
480,Global Curricula Candidate Academy Track-480,Metropolitan Hub,IB Diploma Programme (DP) / English Options,10.5
481,Global Curricula Candidate Academy Track-479,Metropolitan Hub,IB Diploma Programme (DP) / English Options,10.5
482,Global Curricula Candidate Academy Track-478,Metropolitan Hub,IB Diploma Programme (DP) / English Options,10.5
483,Global Curricula Candidate Academy Track-477,Metropolitan Hub,IB Diploma Programme (DP) / English Options,10.5
484,Global Curricula Candidate Academy Track-476,Metropolitan Hub,IB Diploma Programme (DP) / English Options,10.5
485,Global Curricula Candidate Academy Track-475,Metropolitan Hub,IB Diploma Programme (DP) / English Options,10.5
486,Global Curricula Candidate Academy Track-491,Metropolitan Hub,IB Diploma Programme (DP) / English Options,10.0
487,Global Curricula Candidate Academy Track-495,Metropolitan Hub,IB Diploma Programme (DP) / English Options,10.0
488,Global Curricula Candidate Academy Track-494,Metropolitan Hub,IB Diploma Programme (DP) / English Options,10.0
489,Global Curricula Candidate Academy Track-493,Metropolitan Hub,IB Diploma Programme (DP) / English Options,10.0
490,Global Curricula Candidate Academy Track-492,Metropolitan Hub,IB Diploma Programme (DP) / English Options,10.0
491,Global Curricula Candidate Academy Track-485,Metropolitan Hub,IB Diploma Programme (DP) / English Options,10.0
492,Global Curricula Candidate Academy Track-490,Metropolitan Hub,IB Diploma Programme (DP) / English Options,10.0
493,Global Curricula Candidate Academy Track-489,Metropolitan Hub,IB Diploma Programme (DP) / English Options,10.0
494,Global Curricula Candidate Academy Track-488,Metropolitan Hub,IB Diploma Programme (DP) / English Options,10.0
495,Global Curricula Candidate Academy Track-487,Metropolitan Hub,IB Diploma Programme (DP) / English Options,10.0
496,Global Curricula Candidate Academy Track-486,Metropolitan Hub,IB Diploma Programme (DP) / English Options,10.0
497,Global Curricula Candidate Academy Track-496,Metropolitan Hub,IB Diploma Programme (DP) / English Options,9.5
498,Global Curricula Candidate Academy Track-497,Metropolitan Hub,IB Diploma Programme (DP) / English Options,9.5
499,Global Curricula Candidate Academy Track-498,Metropolitan Hub,IB Diploma Programme (DP) / English Options,9.5
500,Global Curricula Candidate Academy Track-499,Metropolitan Hub,IB Diploma Programme (DP) / English Options,9.5
